,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Carauari,24,BR,1529374222,83,-4.88,-66.9,73.71,4.41
1,Impfondo,92,CD,1529374222,100,1.62,18.06,69.48,2.28
2,Ushuaia,40,AR,1529373600,94,-54.81,-68.31,35.6,10.29
3,Balaguer,0,ES,1529374223,72,41.79,0.81,55.8,2.95
4,Punta Arenas,75,CL,1529370000,100,-53.16,-70.91,35.6,19.46
5,Ostrovnoy,80,RU,1529374223,81,68.05,39.51,58.05,15.93
6,Rikitea,92,PF,1529373464,100,-23.12,-134.97,72.45,19.62
7,Ginir,0,ET,1529374224,84,7.14,40.71,56.79,4.85
8,Cidreira,0,BR,1529373226,89,-30.17,-50.22,48.6,7.76
9,Tessalit,0,ML,1529374224,14,20.2,1.01,88.47,11.01
10,Mataura,92,NZ,1529374224,99,-46.19,168.86,44.01,6.64
11,Nikolskoye,75,RU,1529371800,76,59.7,30.79,57.2,2.24
12,Kosonsoy,0,UZ,1529371800,44,41.25,71.55,75.2,6.93
13,Coelho Neto,76,BR,1529374225,99,-4.25,-43.02,72,2.17
14,Chiang Klang,75,TH,1529370000,100,19.29,100.86,78.8,1.12
15,Vaini,92,IN,1529374226,98,15.34,74.49,70.11,4.18
16,Salalah,75,OM,1529369400,88,17.01,54.1,82.4,5.82
17,Ancud,92,CL,1529374226,98,-41.87,-73.83,47.43,4.41
18,Dukat,92,RS,1529374227,100,42.44,22.31,55.98,2.17
19,Belaya Gora,36,RU,1529374227,38,68.54,146.19,65.7,8.21
20,Cape Town,75,ZA,1529370000,93,-33.93,18.42,53.6,14.99
21,Aginskoye,0,RU,1529374228,56,51.11,114.54,67.95,10.67
22,Leningradskiy,68,RU,1529374228,97,69.38,178.42,32.58,8.43
23,Avarua,40,CK,1529370000,60,-21.21,-159.78,75.2,9.17
24,Dwarka,0,IN,1529371800,65,28.58,77.04,82.4,8.05
25,Saldanha,0,PT,1529374229,52,41.42,-6.55,65.43,8.99
26,Dhankuta,24,NP,1529374229,92,26.98,87.34,72.36,1.39
27,Saveh,0,IR,1529374229,30,35.02,50.36,65.25,4.18
28,Castro,92,CL,1529374230,100,-42.48,-73.76,46.26,6.76
29,Mawlaik,32,MM,1529374230,82,23.63,94.42,83.43,2.73
30,Berlevag,8,NO,1529374231,83,70.86,29.09,54,12.01
31,Talara,32,PE,1529374231,96,-4.58,-81.27,63.36,3.74
32,Kushima,75,JP,1529372700,88,31.5,131.29,71.6,5.82
33,Jamestown,64,AU,1529374232,75,-33.21,138.6,48.78,6.2
34,Yumen,92,CN,1529374233,40,40.29,97.04,74.16,3.4
35,Bati,80,ET,1529374233,45,11.19,40.02,75.78,3.74
36,Puerto Quijarro,8,BO,1529374233,93,-19,-57.72,60.84,2.95
37,Mata,40,CU,1529373000,83,22.63,-79.93,77,4.7
38,Fare,92,PF,1529374234,100,-16.7,-151.02,77.76,15.59
39,Kalmunai,0,LK,1529374234,81,7.42,81.82,83.16,8.99
40,Mar del Plata,68,AR,1529374235,57,-46.43,-67.52,50.4,19.84
41,Honningsvag,20,NO,1529374235,79,70.98,25.97,53.73,11.45
42,Georgetown,40,GY,1529370000,100,6.8,-58.16,71.6,5.19
43,Siwana,24,IN,1529374236,54,25.65,72.42,88.56,10.67
44,Umarkot,20,PK,1529374236,73,25.37,69.74,84.96,12.57
45,Faya,5,SA,1529370000,24,18.39,42.45,71.6,2.17
46,Male,20,UA,1529373940,77,50.74,33.7,62.28,2.84
47,Adrar,0,DZ,1529370000,10,27.87,-0.29,93.2,6.93
48,Meulaboh,76,ID,1529374237,100,4.14,96.13,82.26,3.18
49,Pisco,90,PE,1529373600,88,-13.71,-76.2,62.6,4.7
50,Doha,0,QA,1529371800,41,25.29,51.53,93.2,6.93
51,Jiuquan,44,CN,1529373996,69,39.73,98.49,63.63,4.52
52,Gannan,0,CN,1529374238,97,47.92,123.49,71.55,5.97
53,Cherskiy,24,RU,1529374239,55,68.75,161.3,50.13,7.2
54,Uthal,12,PK,1529374239,78,25.81,66.62,83.16,3.96
55,Atuona,0,PF,1529374239,100,-9.8,-139.03,80.73,17.72
56,Moldova Noua,0,RO,1529371800,100,44.74,21.67,64.4,1.12
57,Katsina,0,NG,1529374240,78,12.99,7.6,76.68,16.71
58,Butaritari,56,KI,1529374240,100,3.07,172.79,83.16,7.76
59,Puerto Ayora,0,EC,1529374240,97,-0.74,-90.35,72.63,9.78
60,Jumla,0,NP,1529374241,87,29.28,82.18,46.8,1.95
61,Naze,92,NG,1529374241,98,5.43,7.07,70.02,7.76
62,Santa Barbara,1,US,1529372100,59,34.42,-119.7,68,14.99
63,Danjiangkou,92,CN,1529374242,100,32.54,111.51,71.28,5.19
64,Khatanga,0,RU,1529374242,74,71.98,102.47,51.75,7.43
65,Airai,36,TL,1529374243,58,-8.93,125.41,81.54,2.17
66,Arlit,24,NE,1529374244,19,18.74,7.39,75.15,1.05
67,Kaduqli,92,SD,1529374245,94,11.01,29.72,72.99,7.43
68,Severo-Kurilsk,0,RU,1529374245,91,50.68,156.12,45,3.62
69,Arraial do Cabo,68,BR,1529374245,96,-22.97,-42.02,69.75,10
70,Nong Khai,75,TH,1529371800,88,17.88,102.75,82.4,2.24
71,Senador Pompeu,44,BR,1529374246,94,-5.58,-39.37,68.67,5.97
72,Oksfjord,100,NO,1529369400,81,70.24,22.35,53.6,10.29
73,Alofi,75,NU,1529373600,73,-19.06,-169.92,77,17.22
74,Svetlogorsk,75,RU,1529371800,67,53.14,59.15,60.8,6.71
75,Constitucion,90,MX,1529372820,88,23.99,-104.67,62.6,4.7
76,Kotdwara,0,IN,1529374247,78,29.75,78.53,75.96,2.73
77,Lebu,0,ET,1529374247,82,8.96,38.73,42.3,2.17
78,Manzil Salim,40,TN,1529370000,71,35.86,8.48,57.2,10.29
79,Gravdal,92,NO,1529371200,76,59.79,5.78,53.6,20.8
80,Paraibano,36,BR,1529374250,66,-6.43,-43.99,75.33,4.74
81,Longyearbyen,0,NO,1529369400,48,78.22,15.63,42.8,13.87
82,Lesogorsk,56,RU,1529374250,52,56.05,99.51,72.45,9.55
83,Baoding,8,CN,1529374251,78,38.86,115.49,80.64,10.33
84,Lanzhou,0,CN,1529370000,56,36.06,103.82,68,4.47
85,Maragogi,100,BR,1529374229,84,-9.01,-35.22,75.6,6.87
86,Labytnangi,68,RU,1529374251,98,66.66,66.39,45.18,11.79
87,Faanui,88,PF,1529373911,100,-16.48,-151.75,78.12,15.48
88,Chokurdakh,8,RU,1529374252,89,70.62,147.9,48.06,12.35
89,Hualmay,24,PE,1529374252,94,-11.1,-77.61,55.89,3.74
90,Jijiga,8,ET,1529374253,81,9.35,42.8,59.58,7.54
91,Petropavlovsk-Kamchatskiy,0,RU,1529371800,45,53.05,158.65,68,11.18
92,Kazerun,0,IR,1529374060,33,29.62,51.65,71.55,3.62
93,Dikson,88,RU,1529374253,97,73.51,80.55,32.67,17.83
94,Kirs,0,RU,1529374254,71,59.34,52.24,62.55,4.63
95,Saskylakh,32,RU,1529374254,82,71.97,114.09,55.98,11.23
96,Chicama,90,PE,1529373600,88,-7.84,-79.15,64.4,6.93
97,Hasaki,75,JP,1529372040,65,35.73,140.83,77,11.41
98,Wokha,20,IN,1529374255,87,26.1,94.25,81.18,2.84
99,Okhotsk,88,RU,1529374255,91,59.36,143.24,46.53,5.53
100,Bosanska Dubica,0,BA,1529371800,73,45.18,16.81,69.8,6.93
101,Kuryk,8,KZ,1529374256,50,43.18,51.68,73.35,11.9
102,Lorengau,8,PG,1529374256,100,-2.02,147.27,84.6,3.18
103,Ormara,0,PK,1529374257,89,25.21,64.64,84.24,10.45
104,Aswan,0,EG,1529374257,36,24.09,32.9,83.52,8.99
105,Humberto de Campos,64,BR,1529374257,98,-2.6,-43.46,79.2,14.36
106,Karakol,20,KG,1529374258,56,42.49,78.39,59.4,2.73
107,Buluang,75,PH,1529370000,74,10.47,123.98,86,4.7
108,Chuy,0,UY,1529374258,92,-33.69,-53.46,43.83,9.33
109,Vanavara,0,RU,1529374258,43,60.35,102.28,77.85,3.62
110,Fort-Shevchenko,48,KZ,1529374259,82,44.51,50.26,71.37,9.55
111,Vrangel,64,RU,1529374259,91,42.73,133.08,57.33,6.2
112,San Martino di Lupari,36,IT,1529371200,64,45.65,11.86,73.4,2.24
113,Arroio Grande,0,BR,1529374260,100,-32.24,-53.09,45.99,7.87
114,Makinsk,64,KZ,1529374260,83,52.63,70.42,53.28,13.47
115,Mahibadhoo,0,MV,1529374260,100,3.78,72.97,83.34,9.22
116,Aksarka,80,RU,1529374260,99,66.56,67.8,41.31,16.26
117,Ranong,75,TH,1529370000,88,9.96,98.62,80.6,4.7
118,Caravelas,76,BR,1529374261,100,-17.73,-39.27,75.69,15.14
119,Tiksi,0,RU,1529374262,74,71.64,128.87,57.33,3.96
120,Ouallam,0,NE,1529374262,52,14.32,2.08,83.61,14.81
121,Aracaju,40,BR,1529373600,94,-10.92,-37.08,73.4,3.36
122,Kavaratti,68,IN,1529374263,100,10.57,72.64,83.25,24.2
123,Temerloh,92,MY,1529374263,82,3.45,102.42,83.7,3.4
124,Kamaishi,75,JP,1529370000,68,39.28,141.86,71.6,11.41
125,Balkanabat,20,TM,1529374264,32,39.51,54.36,75.96,1.95
126,Deputatskiy,8,RU,1529374264,38,69.3,139.9,70.83,6.76
127,Kanlagay,12,PH,1529374265,96,5.88,121.29,84.6,7.87
128,Kut Chap,75,TH,1529371800,88,17.43,102.57,82.4,2.24
129,Udachnyy,0,RU,1529374266,51,66.42,112.4,69.66,4.18
130,Rebrikha,24,RU,1529374266,66,53.08,82.34,69.93,13.02
131,Chifeng,0,CN,1529374266,54,42.27,118.96,71.82,7.2
132,Sao Joao do Piaui,0,BR,1529374267,60,-8.36,-42.25,75.15,11.01
133,Tazovskiy,8,RU,1529374267,72,67.47,78.7,71.28,4.63
